name,review_count,rating,coordinates.latitude,coordinates.longitude,location.address2
Westhill Consulting and Employment,2,5.0,51.5436579,-0.7015411,Lower Cookham Road
Goldteam Recruitment,1,1.0,51.5254621,-0.6415299,
MYM Solicitors,1,5.0,51.5072489526664,-0.584656186401844,
