name,distance,geocodes.main.latitude,geocodes.main.longitude,location.formatted_address
Krispy Kreme,109,51.510374,-0.591567,"Tesco Extra Brunel Way (Wellington St), Slough, Berkshire, SL1 1XW"
Greggs,405,51.508094,-0.589449,"223 High St, Slough, Berkshire, SL1 1BY"
Greggs,275,51.509227,-0.593906,"1 Mackenzie St, Slough, Berkshire, SL1 1XQ"
Millies Cookies,432,51.508564,-0.589809,"46b The Observatory, High St (The Observatory Shopping Centre), Slough, SL1 1LE"
Dawn's Wedding Cakes,190,51.509968,-0.593187,"68 Mercian Way, Slough, SL1 5LY"
Tales from Lisa's Kitchen,190,51.509968,-0.593187,Burnham on Sea
Cookie Jar London,961,51.50608,-0.602579,"20B Chalvey Rd East, Slough, SL1 2LU"
